 name                                     non-pgo-timings-O3-nightly/merged-timings.txt ns/iter  pgo-timings-O3-no-preinline-nightly/merged-timings.txt ns/iter    diff ns/iter  diff %  speedup 
 misc::anchored_literal_long_match        12,800                                                 12,320                                                                    -480  -3.75%   x 1.04 
 misc::anchored_literal_long_non_match    13,880                                                 13,000                                                                    -880  -6.34%   x 1.07 
 misc::anchored_literal_short_match       13,000                                                 12,480                                                                    -520  -4.00%   x 1.04 
 misc::anchored_literal_short_non_match   14,000                                                 13,000                                                                  -1,000  -7.14%   x 1.08 
 misc::easy0_1K                           9,240                                                  9,080                                                                     -160  -1.73%   x 1.02 
 misc::easy0_1MB                          11,480                                                 11,080                                                                    -400  -3.48%   x 1.04 
 misc::easy0_32                           9,440                                                  10,160                                                                     720   7.63%   x 0.93 
 misc::easy0_32K                          9,480                                                  9,080                                                                     -400  -4.22%   x 1.04 
 misc::easy1_1K                           34,080                                                 33,600                                                                    -480  -1.41%   x 1.01 
 misc::easy1_1MB                          35,960                                                 35,240                                                                    -720  -2.00%   x 1.02 
 misc::easy1_32                           34,400                                                 33,480                                                                    -920  -2.67%   x 1.03 
 misc::easy1_32K                          34,600                                                 33,240                                                                  -1,360  -3.93%   x 1.04 
 misc::hard_1K                            43,360                                                 42,960                                                                    -400  -0.92%   x 1.01 
 misc::hard_1MB                           45,160                                                 44,920                                                                    -240  -0.53%   x 1.01 
 misc::hard_32                            43,440                                                 42,880                                                                    -560  -1.29%   x 1.01 
 misc::hard_32K                           43,200                                                 43,200                                                                       0   0.00%   x 1.00 
 misc::is_match_set                       53,720                                                 53,120                                                                    -600  -1.12%   x 1.01 
 misc::literal                            8,720                                                  9,000                                                                      280   3.21%   x 0.97 
 misc::long_needle1                       897,800                                                890,280                                                                 -7,520  -0.84%   x 1.01 
 misc::long_needle2                       495,254,840                                            532,865,160                                                         37,610,320   7.59%   x 0.93 
 misc::match_class                        43,200                                                 42,200                                                                  -1,000  -2.31%   x 1.02 
 misc::match_class_in_range               10,040                                                 10,000                                                                     -40  -0.40%   x 1.00 
 misc::match_class_unicode                228,280                                                225,760                                                                 -2,520  -1.10%   x 1.01 
 misc::matches_set                        438,920                                                418,560                                                                -20,360  -4.64%   x 1.05 
 misc::medium_1K                          11,040                                                 11,000                                                                     -40  -0.36%   x 1.00 
 misc::medium_1MB                         12,360                                                 12,080                                                                    -280  -2.27%   x 1.02 
 misc::medium_32                          11,120                                                 10,840                                                                    -280  -2.52%   x 1.03 
 misc::medium_32K                         11,000                                                 11,000                                                                       0   0.00%   x 1.00 
 misc::no_exponential                     296,080                                                293,120                                                                 -2,960  -1.00%   x 1.01 
 misc::not_literal                        79,280                                                 78,400                                                                    -880  -1.11%   x 1.01 
 misc::one_pass_long_prefix               45,160                                                 44,720                                                                    -440  -0.97%   x 1.01 
 misc::one_pass_long_prefix_not           45,160                                                 44,800                                                                    -360  -0.80%   x 1.01 
 misc::one_pass_short                     32,600                                                 32,560                                                                     -40  -0.12%   x 1.00 
 misc::one_pass_short_not                 33,600                                                 33,160                                                                    -440  -1.31%   x 1.01 
 misc::reallyhard2_1K                     45,920                                                 45,800                                                                    -120  -0.26%   x 1.00 
 misc::reallyhard_1K                      1,432,960                                              1,418,880                                                              -14,080  -0.98%   x 1.01 
 misc::reallyhard_1MB                     1,428,386,160                                          1,411,270,000                                                      -17,116,160  -1.20%   x 1.01 
 misc::reallyhard_32                      89,960                                                 89,320                                                                    -640  -0.71%   x 1.01 
 misc::reallyhard_32K                     44,502,000                                             44,058,920                                                            -443,080  -1.00%   x 1.01 
 misc::replace_all                        139,360                                                138,360                                                                 -1,000  -0.72%   x 1.01 
 misc::reverse_suffix_no_quadratic        3,696,960                                              3,660,320                                                              -36,640  -0.99%   x 1.01 
 misc::short_haystack_1000000x            144,824,440                                            145,243,920                                                            419,480   0.29%   x 1.00 
 misc::short_haystack_100000x             4,335,320                                              4,265,680                                                              -69,640  -1.61%   x 1.02 
 misc::short_haystack_10000x              2,787,160                                              2,702,440                                                              -84,720  -3.04%   x 1.03 
 misc::short_haystack_1000x               298,640                                                294,480                                                                 -4,160  -1.39%   x 1.01 
 misc::short_haystack_100x                211,440                                                209,560                                                                 -1,880  -0.89%   x 1.01 
 misc::short_haystack_10x                 179,200                                                176,840                                                                 -2,360  -1.32%   x 1.01 
 misc::short_haystack_1x                  168,280                                                170,360                                                                  2,080   1.24%   x 0.99 
 misc::short_haystack_2x                  170,640                                                171,440                                                                    800   0.47%   x 1.00 
 misc::short_haystack_3x                  170,000                                                171,960                                                                  1,960   1.15%   x 0.99 
 misc::short_haystack_4x                  172,120                                                171,720                                                                   -400  -0.23%   x 1.00 
 regexdna::find_new_lines                 10,241,079,160                                         10,158,661,760                                                     -82,417,400  -0.80%   x 1.01 
 regexdna::subst1                         732,814,240                                            743,185,400                                                         10,371,160   1.42%   x 0.99 
 regexdna::subst10                        728,707,400                                            737,067,800                                                          8,360,400   1.15%   x 0.99 
 regexdna::subst11                        730,579,400                                            734,964,880                                                          4,385,480   0.60%   x 0.99 
 regexdna::subst2                         733,333,280                                            740,211,800                                                          6,878,520   0.94%   x 0.99 
 regexdna::subst3                         738,116,440                                            741,222,280                                                          3,105,840   0.42%   x 1.00 
 regexdna::subst4                         728,051,280                                            737,030,720                                                          8,979,440   1.23%   x 0.99 
 regexdna::subst5                         733,655,840                                            739,261,480                                                          5,605,640   0.76%   x 0.99 
 regexdna::subst6                         728,574,120                                            739,174,760                                                         10,600,640   1.45%   x 0.99 
 regexdna::subst7                         731,397,080                                            741,276,480                                                          9,879,400   1.35%   x 0.99 
 regexdna::subst8                         727,488,160                                            735,922,560                                                          8,434,400   1.16%   x 0.99 
 regexdna::subst9                         731,020,760                                            743,985,840                                                         12,965,080   1.77%   x 0.98 
 regexdna::variant1                       2,145,857,160                                          2,134,158,120                                                      -11,699,040  -0.55%   x 1.01 
 regexdna::variant2                       3,168,279,720                                          3,121,402,280                                                      -46,877,440  -1.48%   x 1.02 
 regexdna::variant3                       3,799,511,440                                          3,758,751,640                                                      -40,759,800  -1.07%   x 1.01 
 regexdna::variant4                       3,838,582,400                                          3,775,195,920                                                      -63,386,480  -1.65%   x 1.02 
