 name                                     non-pgo-timings/merged-timings.txt ns/iter  pgo-timings-no-preinline/merged-timings.txt ns/iter  diff ns/iter  diff %  speedup 
 misc::anchored_literal_long_match        13,000                                      13,500                                                        500   3.85%   x 0.96 
 misc::anchored_literal_long_non_match    14,000                                      13,000                                                     -1,000  -7.14%   x 1.08 
 misc::anchored_literal_short_match       13,500                                      12,500                                                     -1,000  -7.41%   x 1.08 
 misc::anchored_literal_short_non_match   14,000                                      13,000                                                     -1,000  -7.14%   x 1.08 
 misc::easy0_1K                           9,500                                       9,000                                                        -500  -5.26%   x 1.06 
 misc::easy0_1MB                          11,000                                      11,500                                                        500   4.55%   x 0.96 
 misc::easy0_32                           9,000                                       9,500                                                         500   5.56%   x 0.95 
 misc::easy0_32K                          9,500                                       9,000                                                        -500  -5.26%   x 1.06 
 misc::easy1_1K                           34,000                                      35,000                                                      1,000   2.94%   x 0.97 
 misc::easy1_1MB                          35,000                                      36,000                                                      1,000   2.86%   x 0.97 
 misc::easy1_32                           35,500                                      33,500                                                     -2,000  -5.63%   x 1.06 
 misc::easy1_32K                          35,000                                      34,000                                                     -1,000  -2.86%   x 1.03 
 misc::hard_1K                            43,000                                      43,500                                                        500   1.16%   x 0.99 
 misc::hard_1MB                           45,500                                      44,500                                                     -1,000  -2.20%   x 1.02 
 misc::hard_32                            44,500                                      44,000                                                       -500  -1.12%   x 1.01 
 misc::hard_32K                           44,000                                      43,000                                                     -1,000  -2.27%   x 1.02 
 misc::is_match_set                       53,500                                      54,500                                                      1,000   1.87%   x 0.98 
 misc::literal                            9,000                                       10,000                                                      1,000  11.11%   x 0.90 
 misc::long_needle1                       887,500                                     894,500                                                     7,000   0.79%   x 0.99 
 misc::long_needle2                       487,327,000                                 534,448,000                                            47,121,000   9.67%   x 0.91 
 misc::match_class                        43,000                                      43,000                                                          0   0.00%   x 1.00 
 misc::match_class_in_range               10,000                                      10,000                                                          0   0.00%   x 1.00 
 misc::match_class_unicode                225,000                                     228,000                                                     3,000   1.33%   x 0.99 
 misc::matches_set                        432,000                                     429,000                                                    -3,000  -0.69%   x 1.01 
 misc::medium_1K                          11,000                                      11,000                                                          0   0.00%   x 1.00 
 misc::medium_1MB                         12,000                                      13,000                                                      1,000   8.33%   x 0.92 
 misc::medium_32                          11,000                                      11,500                                                        500   4.55%   x 0.96 
 misc::medium_32K                         11,000                                      11,500                                                        500   4.55%   x 0.96 
 misc::no_exponential                     293,000                                     308,000                                                    15,000   5.12%   x 0.95 
 misc::not_literal                        79,000                                      82,500                                                      3,500   4.43%   x 0.96 
 misc::one_pass_long_prefix               44,500                                      47,500                                                      3,000   6.74%   x 0.94 
 misc::one_pass_long_prefix_not           44,500                                      46,000                                                      1,500   3.37%   x 0.97 
 misc::one_pass_short                     32,500                                      33,500                                                      1,000   3.08%   x 0.97 
 misc::one_pass_short_not                 33,500                                      33,000                                                       -500  -1.49%   x 1.02 
 misc::reallyhard2_1K                     45,500                                      46,000                                                        500   1.10%   x 0.99 
 misc::reallyhard_1K                      1,433,000                                   1,438,500                                                   5,500   0.38%   x 1.00 
 misc::reallyhard_1MB                     1,417,475,000                               1,448,484,000                                          31,009,000   2.19%   x 0.98 
 misc::reallyhard_32                      90,000                                      92,500                                                      2,500   2.78%   x 0.97 
 misc::reallyhard_32K                     44,028,500                                  45,752,000                                              1,723,500   3.91%   x 0.96 
 misc::replace_all                        137,000                                     147,000                                                    10,000   7.30%   x 0.93 
 misc::reverse_suffix_no_quadratic        3,657,000                                   3,782,500                                                 125,500   3.43%   x 0.97 
 misc::short_haystack_1000000x            144,695,000                                 145,502,500                                               807,500   0.56%   x 0.99 
 misc::short_haystack_100000x             4,334,500                                   4,358,500                                                  24,000   0.55%   x 0.99 
 misc::short_haystack_10000x              2,715,500                                   2,740,000                                                  24,500   0.90%   x 0.99 
 misc::short_haystack_1000x               292,500                                     304,000                                                    11,500   3.93%   x 0.96 
 misc::short_haystack_100x                207,500                                     222,500                                                    15,000   7.23%   x 0.93 
 misc::short_haystack_10x                 177,000                                     182,500                                                     5,500   3.11%   x 0.97 
 misc::short_haystack_1x                  178,000                                     171,000                                                    -7,000  -3.93%   x 1.04 
 misc::short_haystack_2x                  169,000                                     169,000                                                         0   0.00%   x 1.00 
 misc::short_haystack_3x                  168,000                                     173,500                                                     5,500   3.27%   x 0.97 
 misc::short_haystack_4x                  167,500                                     171,000                                                     3,500   2.09%   x 0.98 
 regexdna::find_new_lines                 10,134,853,000                              10,348,328,000                                        213,475,000   2.11%   x 0.98 
 regexdna::subst1                         724,798,000                                 763,423,000                                            38,625,000   5.33%   x 0.95 
 regexdna::subst10                        735,888,000                                 746,704,000                                            10,816,000   1.47%   x 0.99 
 regexdna::subst11                        729,067,500                                 737,109,000                                             8,041,500   1.10%   x 0.99 
 regexdna::subst2                         735,521,000                                 746,062,000                                            10,541,000   1.43%   x 0.99 
