 name                                     non-pgo-timings/merged-timings.txt ns/iter  pgo-timings/merged-timings.txt ns/iter  diff ns/iter  diff %  speedup 
 misc::anchored_literal_long_match        13,000                                      13,000                                             0   0.00%   x 1.00 
 misc::anchored_literal_long_non_match    14,000                                      13,500                                          -500  -3.57%   x 1.04 
 misc::anchored_literal_short_match       13,500                                      13,500                                             0   0.00%   x 1.00 
 misc::anchored_literal_short_non_match   14,000                                      13,500                                          -500  -3.57%   x 1.04 
 misc::easy0_1K                           9,500                                       9,000                                           -500  -5.26%   x 1.06 
 misc::easy0_1MB                          11,000                                      11,500                                           500   4.55%   x 0.96 
 misc::easy0_32                           9,000                                       9,000                                              0   0.00%   x 1.00 
 misc::easy0_32K                          9,500                                       12,000                                         2,500  26.32%   x 0.79 
 misc::easy1_1K                           34,000                                      36,000                                         2,000   5.88%   x 0.94 
 misc::easy1_1MB                          35,000                                      36,000                                         1,000   2.86%   x 0.97 
 misc::easy1_32                           35,500                                      34,500                                        -1,000  -2.82%   x 1.03 
 misc::easy1_32K                          35,000                                      44,000                                         9,000  25.71%   x 0.80 
 misc::hard_1K                            43,000                                      45,500                                         2,500   5.81%   x 0.95 
 misc::hard_1MB                           45,500                                      58,500                                        13,000  28.57%   x 0.78 
 misc::hard_32                            44,500                                      54,500                                        10,000  22.47%   x 0.82 
 misc::hard_32K                           44,000                                      44,000                                             0   0.00%   x 1.00 
 misc::is_match_set                       53,500                                      53,000                                          -500  -0.93%   x 1.01 
 misc::literal                            9,000                                       10,000                                         1,000  11.11%   x 0.90 
 misc::long_needle1                       887,500                                     911,500                                       24,000   2.70%   x 0.97 
 misc::long_needle2                       487,327,000                                 492,817,500                                5,490,500   1.13%   x 0.99 
 misc::match_class                        43,000                                      71,500                                        28,500  66.28%   x 0.60 
 misc::match_class_in_range               10,000                                      11,000                                         1,000  10.00%   x 0.91 
 misc::match_class_unicode                225,000                                     236,500                                       11,500   5.11%   x 0.95 
 misc::matches_set                        432,000                                     447,000                                       15,000   3.47%   x 0.97 
 misc::medium_1K                          11,000                                      10,000                                        -1,000  -9.09%   x 1.10 
 misc::medium_1MB                         12,000                                      12,000                                             0   0.00%   x 1.00 
 misc::medium_32                          11,000                                      10,000                                        -1,000  -9.09%   x 1.10 
 misc::medium_32K                         11,000                                      10,000                                        -1,000  -9.09%   x 1.10 
 misc::no_exponential                     293,000                                     295,500                                        2,500   0.85%   x 0.99 
 misc::not_literal                        79,000                                      79,000                                             0   0.00%   x 1.00 
 misc::one_pass_long_prefix               44,500                                      44,500                                             0   0.00%   x 1.00 
 misc::one_pass_long_prefix_not           44,500                                      45,000                                           500   1.12%   x 0.99 
 misc::one_pass_short                     32,500                                      32,000                                          -500  -1.54%   x 1.02 
 misc::one_pass_short_not                 33,500                                      36,000                                         2,500   7.46%   x 0.93 
 misc::reallyhard2_1K                     45,500                                      45,500                                             0   0.00%   x 1.00 
 misc::reallyhard_1K                      1,433,000                                   1,420,000                                    -13,000  -0.91%   x 1.01 
 misc::reallyhard_1MB                     1,417,475,000                               1,415,856,500                             -1,618,500  -0.11%   x 1.00 
 misc::reallyhard_32                      90,000                                      89,000                                        -1,000  -1.11%   x 1.01 
 misc::reallyhard_32K                     44,028,500                                  44,223,500                                   195,000   0.44%   x 1.00 
 misc::replace_all                        137,000                                     142,000                                        5,000   3.65%   x 0.96 
