 name                                     non-pgo-timings/merged-timings.txt ns/iter  pgo-timings-no-preinline/merged-timings.txt ns/iter  diff ns/iter  diff %  speedup 
 misc::anchored_literal_long_match        13,350                                      13,150                                                       -200  -1.50%   x 1.02 
 misc::anchored_literal_long_non_match    13,000                                      13,950                                                        950   7.31%   x 0.93 
 misc::anchored_literal_short_match       13,200                                      13,150                                                        -50  -0.38%   x 1.00 
 misc::anchored_literal_short_non_match   13,650                                      13,000                                                       -650  -4.76%   x 1.05 
 misc::easy0_1K                           10,000                                      10,000                                                          0   0.00%   x 1.00 
 misc::easy0_1MB                          11,900                                      11,650                                                       -250  -2.10%   x 1.02 
 misc::easy0_32                           10,000                                      10,000                                                          0   0.00%   x 1.00 
 misc::easy0_32K                          10,000                                      10,000                                                          0   0.00%   x 1.00 
 misc::easy1_1K                           34,000                                      33,650                                                       -350  -1.03%   x 1.01 
 misc::easy1_1MB                          35,400                                      35,100                                                       -300  -0.85%   x 1.01 
 misc::easy1_32                           34,350                                      33,850                                                       -500  -1.46%   x 1.01 
 misc::easy1_32K                          34,100                                      34,000                                                       -100  -0.29%   x 1.00 
 misc::hard_1K                            43,450                                      43,300                                                       -150  -0.35%   x 1.00 
 misc::hard_1MB                           45,200                                      45,050                                                       -150  -0.33%   x 1.00 
 misc::hard_32                            43,350                                      43,550                                                        200   0.46%   x 1.00 
 misc::hard_32K                           43,700                                      43,250                                                       -450  -1.03%   x 1.01 
 misc::is_match_set                       53,600                                      53,150                                                       -450  -0.84%   x 1.01 
 misc::literal                            9,150                                       9,900                                                         750   8.20%   x 0.92 
 misc::long_needle1                       894,150                                     888,150                                                    -6,000  -0.67%   x 1.01 
 misc::long_needle2                       511,276,450                                 505,389,000                                            -5,887,450  -1.15%   x 1.01 
 misc::match_class                        42,800                                      43,000                                                        200   0.47%   x 1.00 
 misc::match_class_in_range               9,800                                       10,000                                                        200   2.04%   x 0.98 
 misc::match_class_unicode                228,100                                     225,500                                                    -2,600  -1.14%   x 1.01 
 misc::matches_set                        428,850                                     432,650                                                     3,800   0.89%   x 0.99 
 misc::medium_1K                          11,000                                      11,000                                                          0   0.00%   x 1.00 
 misc::medium_1MB                         12,200                                      13,250                                                      1,050   8.61%   x 0.92 
 misc::medium_32                          11,050                                      11,000                                                        -50  -0.45%   x 1.00 
 misc::medium_32K                         11,050                                      11,000                                                        -50  -0.45%   x 1.00 
 misc::no_exponential                     294,600                                     293,600                                                    -1,000  -0.34%   x 1.00 
 misc::not_literal                        79,300                                      78,500                                                       -800  -1.01%   x 1.01 
 misc::one_pass_long_prefix               45,050                                      44,600                                                       -450  -1.00%   x 1.01 
 misc::one_pass_long_prefix_not           45,150                                      44,450                                                       -700  -1.55%   x 1.02 
 misc::one_pass_short                     33,200                                      32,400                                                       -800  -2.41%   x 1.02 
 misc::one_pass_short_not                 33,800                                      33,300                                                       -500  -1.48%   x 1.02 
 misc::reallyhard2_1K                     47,500                                      46,350                                                     -1,150  -2.42%   x 1.02 
 misc::reallyhard_1K                      1,437,800                                   1,416,300                                                 -21,500  -1.50%   x 1.02 
 misc::reallyhard_1MB                     1,428,490,550                               1,405,248,950                                         -23,241,600  -1.63%   x 1.02 
 misc::reallyhard_32                      90,100                                      89,250                                                       -850  -0.94%   x 1.01 
 misc::reallyhard_32K                     44,552,150                                  43,975,350                                               -576,800  -1.29%   x 1.01 
 misc::replace_all                        139,750                                     137,650                                                    -2,100  -1.50%   x 1.02 
 misc::reverse_suffix_no_quadratic        3,717,900                                   3,655,400                                                 -62,500  -1.68%   x 1.02 
 misc::short_haystack_1000000x            144,052,050                                 142,086,000                                            -1,966,050  -1.36%   x 1.01 
 misc::short_haystack_100000x             4,300,000                                   4,274,800                                                 -25,200  -0.59%   x 1.01 
