 name                                     final-non-pgo-N-cgus/merged-timings.txt ns/iter  final-non-pgo-N-cgus-instr-limit/merged-timings.txt ns/iter    diff ns/iter   diff %  speedup 
 misc::anchored_literal_long_match        13,200                                           16,066                                                                2,866   21.71%   x 0.82 
 misc::anchored_literal_long_non_match    15,066                                           18,000                                                                2,934   19.47%   x 0.84 
 misc::anchored_literal_short_match       14,066                                           16,200                                                                2,134   15.17%   x 0.87 
 misc::anchored_literal_short_non_match   15,666                                           19,000                                                                3,334   21.28%   x 0.82 
 misc::easy0_1K                           10,133                                           12,400                                                                2,267   22.37%   x 0.82 
 misc::easy0_1MB                          14,333                                           17,066                                                                2,733   19.07%   x 0.84 
 misc::easy0_32                           10,266                                           13,000                                                                2,734   26.63%   x 0.79 
 misc::easy0_32K                          10,600                                           13,000                                                                2,400   22.64%   x 0.82 
 misc::easy1_1K                           34,800                                           34,666                                                                 -134   -0.39%   x 1.00 
 misc::easy1_1MB                          35,266                                           38,133                                                                2,867    8.13%   x 0.92 
 misc::easy1_32                           34,600                                           34,533                                                                  -67   -0.19%   x 1.00 
 misc::easy1_32K                          34,466                                           34,866                                                                  400    1.16%   x 0.99 
 misc::hard_1K                            43,600                                           43,866                                                                  266    0.61%   x 0.99 
 misc::hard_1MB                           45,466                                           48,066                                                                2,600    5.72%   x 0.95 
 misc::hard_32                            43,066                                           43,866                                                                  800    1.86%   x 0.98 
 misc::hard_32K                           43,333                                           43,733                                                                  400    0.92%   x 0.99 
 misc::is_match_set                       54,666                                           63,600                                                                8,934   16.34%   x 0.86 
 misc::literal                            10,066                                           12,000                                                                1,934   19.21%   x 0.84 
 misc::long_needle1                       905,266                                          896,600                                                              -8,666   -0.96%   x 1.01 
 misc::long_needle2                       498,019,533                                      496,303,066                                                      -1,716,467   -0.34%   x 1.00 
 misc::match_class                        43,533                                           45,133                                                                1,600    3.68%   x 0.96 
 misc::match_class_in_range               11,000                                           13,000                                                                2,000   18.18%   x 0.85 
 misc::match_class_unicode                227,733                                          227,666                                                                 -67   -0.03%   x 1.00 
 misc::matches_set                        428,733                                          513,266                                                              84,533   19.72%   x 0.84 
 misc::medium_1K                          11,133                                           14,000                                                                2,867   25.75%   x 0.80 
 misc::medium_1MB                         14,200                                           17,066                                                                2,866   20.18%   x 0.83 
 misc::medium_32                          11,133                                           14,000                                                                2,867   25.75%   x 0.80 
 misc::medium_32K                         11,266                                           14,000                                                                2,734   24.27%   x 0.80 
 misc::no_exponential                     297,333                                          295,333                                                              -2,000   -0.67%   x 1.01 
 misc::not_literal                        79,600                                           79,466                                                                 -134   -0.17%   x 1.00 
 misc::one_pass_long_prefix               44,866                                           46,733                                                                1,867    4.16%   x 0.96 
 misc::one_pass_long_prefix_not           45,200                                           46,333                                                                1,133    2.51%   x 0.98 
 misc::one_pass_short                     33,133                                           34,133                                                                1,000    3.02%   x 0.97 
 misc::one_pass_short_not                 33,866                                           34,600                                                                  734    2.17%   x 0.98 
 misc::reallyhard2_1K                     47,133                                           51,133                                                                4,000    8.49%   x 0.92 
