 name                                     final-non-pgo-1-cgu/merged-timings.txt ns/iter  final-pgo-1-cgu-instr-limit-use/merged-timings.txt ns/iter    diff ns/iter   diff %  speedup 
 misc::anchored_literal_long_match        14,333                                          14,733                                                                 400    2.79%   x 0.97 
 misc::anchored_literal_long_non_match    15,066                                          14,200                                                                -866   -5.75%   x 1.06 
 misc::anchored_literal_short_match       14,266                                          14,933                                                                 667    4.68%   x 0.96 
 misc::anchored_literal_short_non_match   15,066                                          14,133                                                                -933   -6.19%   x 1.07 
 misc::easy0_1K                           11,000                                          9,133                                                               -1,867  -16.97%   x 1.20 
 misc::easy0_1MB                          13,000                                          12,000                                                              -1,000   -7.69%   x 1.08 
 misc::easy0_32                           11,000                                          9,066                                                               -1,934  -17.58%   x 1.21 
 misc::easy0_32K                          11,000                                          9,000                                                               -2,000  -18.18%   x 1.22 
 misc::easy1_1K                           32,066                                          28,000                                                              -4,066  -12.68%   x 1.15 
 misc::easy1_1MB                          34,266                                          31,600                                                              -2,666   -7.78%   x 1.08 
 misc::easy1_32                           32,000                                          28,066                                                              -3,934  -12.29%   x 1.14 
 misc::easy1_32K                          32,400                                          28,000                                                              -4,400  -13.58%   x 1.16 
 misc::hard_1K                            40,400                                          37,466                                                              -2,934   -7.26%   x 1.08 
 misc::hard_1MB                           44,333                                          42,133                                                              -2,200   -4.96%   x 1.05 
 misc::hard_32                            41,400                                          37,933                                                              -3,467   -8.37%   x 1.09 
 misc::hard_32K                           41,266                                          37,133                                                              -4,133  -10.02%   x 1.11 
 misc::is_match_set                       53,333                                          40,933                                                             -12,400  -23.25%   x 1.30 
 misc::literal                            11,000                                          8,000                                                               -3,000  -27.27%   x 1.38 
 misc::long_needle1                       889,000                                         892,800                                                              3,800    0.43%   x 1.00 
 misc::long_needle2                       441,808,200                                     479,696,333                                                     37,888,133    8.58%   x 0.92 
 misc::match_class                        42,200                                          96,600                                                              54,400  128.91%   x 0.44 
 misc::match_class_in_range               11,000                                          9,000                                                               -2,000  -18.18%   x 1.22 
 misc::match_class_unicode                225,400                                         225,200                                                               -200   -0.09%   x 1.00 
 misc::matches_set                        472,133                                         416,866                                                            -55,267  -11.71%   x 1.13 
 misc::medium_1K                          12,000                                          11,066                                                                -934   -7.78%   x 1.08 
