 name                                     final-non-pgo-1-cgu/merged-timings.txt ns/iter  final-pgo-N-cgus-instr-limit-use/merged-timings.txt ns/iter  diff ns/iter   diff %  speedup 
 misc::anchored_literal_long_match        14,333                                          13,800                                                               -533   -3.72%   x 1.04 
 misc::anchored_literal_long_non_match    15,066                                          14,000                                                             -1,066   -7.08%   x 1.08 
 misc::anchored_literal_short_match       14,266                                          13,933                                                               -333   -2.33%   x 1.02 
 misc::anchored_literal_short_non_match   15,066                                          14,066                                                             -1,000   -6.64%   x 1.07 
 misc::easy0_1K                           11,000                                          9,000                                                              -2,000  -18.18%   x 1.22 
 misc::easy0_1MB                          13,000                                          12,000                                                             -1,000   -7.69%   x 1.08 
 misc::easy0_32                           11,000                                          9,000                                                              -2,000  -18.18%   x 1.22 
 misc::easy0_32K                          11,000                                          9,000                                                              -2,000  -18.18%   x 1.22 
 misc::easy1_1K                           32,066                                          26,600                                                             -5,466  -17.05%   x 1.21 
 misc::easy1_1MB                          34,266                                          29,466                                                             -4,800  -14.01%   x 1.16 
 misc::easy1_32                           32,000                                          26,266                                                             -5,734  -17.92%   x 1.22 
 misc::easy1_32K                          32,400                                          26,866                                                             -5,534  -17.08%   x 1.21 
 misc::hard_1K                            40,400                                          36,200                                                             -4,200  -10.40%   x 1.12 
 misc::hard_1MB                           44,333                                          41,400                                                             -2,933   -6.62%   x 1.07 
 misc::hard_32                            41,400                                          36,333                                                             -5,067  -12.24%   x 1.14 
 misc::hard_32K                           41,266                                          36,400                                                             -4,866  -11.79%   x 1.13 
 misc::is_match_set                       53,333                                          62,333                                                              9,000   16.88%   x 0.86 
 misc::literal                            11,000                                          8,533                                                              -2,467  -22.43%   x 1.29 
 misc::long_needle1                       889,000                                         900,866                                                            11,866    1.33%   x 0.99 
 misc::long_needle2                       441,808,200                                     474,683,600                                                    32,875,400    7.44%   x 0.93 
 misc::match_class                        42,200                                          98,133                                                             55,933  132.54%   x 0.43 
 misc::match_class_in_range               11,000                                          10,666                                                               -334   -3.04%   x 1.03 
 misc::match_class_unicode                225,400                                         225,666                                                               266    0.12%   x 1.00 
 misc::matches_set                        472,133                                         486,333                                                            14,200    3.01%   x 0.97 
 misc::medium_1K                          12,000                                          9,466                                                              -2,534  -21.12%   x 1.27 
 misc::medium_1MB                         14,000                                          13,000                                                             -1,000   -7.14%   x 1.08 
 misc::medium_32                          12,000                                          9,400                                                              -2,600  -21.67%   x 1.28 
 misc::medium_32K                         12,000                                          9,600                                                              -2,400  -20.00%   x 1.25 
