 name                                     final-non-pgo-N-cgus/merged-timings.txt ns/iter  final-pgo-N-cgus-instr-limit-use/merged-timings.txt ns/iter   diff ns/iter   diff %  speedup 
 misc::anchored_literal_long_match        13,200                                           13,800                                                                 600    4.55%   x 0.96 
 misc::anchored_literal_long_non_match    15,066                                           14,000                                                              -1,066   -7.08%   x 1.08 
 misc::anchored_literal_short_match       14,066                                           13,933                                                                -133   -0.95%   x 1.01 
 misc::anchored_literal_short_non_match   15,666                                           14,066                                                              -1,600  -10.21%   x 1.11 
 misc::easy0_1K                           10,133                                           9,000                                                               -1,133  -11.18%   x 1.13 
 misc::easy0_1MB                          14,333                                           12,000                                                              -2,333  -16.28%   x 1.19 
 misc::easy0_32                           10,266                                           9,000                                                               -1,266  -12.33%   x 1.14 
 misc::easy0_32K                          10,600                                           9,000                                                               -1,600  -15.09%   x 1.18 
 misc::easy1_1K                           34,800                                           26,600                                                              -8,200  -23.56%   x 1.31 
 misc::easy1_1MB                          35,266                                           29,466                                                              -5,800  -16.45%   x 1.20 
 misc::easy1_32                           34,600                                           26,266                                                              -8,334  -24.09%   x 1.32 
 misc::easy1_32K                          34,466                                           26,866                                                              -7,600  -22.05%   x 1.28 
 misc::hard_1K                            43,600                                           36,200                                                              -7,400  -16.97%   x 1.20 
 misc::hard_1MB                           45,466                                           41,400                                                              -4,066   -8.94%   x 1.10 
 misc::hard_32                            43,066                                           36,333                                                              -6,733  -15.63%   x 1.19 
 misc::hard_32K                           43,333                                           36,400                                                              -6,933  -16.00%   x 1.19 
 misc::is_match_set                       54,666                                           62,333                                                               7,667   14.03%   x 0.88 
 misc::literal                            10,066                                           8,533                                                               -1,533  -15.23%   x 1.18 
 misc::long_needle1                       905,266                                          900,866                                                             -4,400   -0.49%   x 1.00 
 misc::long_needle2                       498,019,533                                      474,683,600                                                    -23,335,933   -4.69%   x 1.05 
 misc::match_class                        43,533                                           98,133                                                              54,600  125.42%   x 0.44 
 misc::match_class_in_range               11,000                                           10,666                                                                -334   -3.04%   x 1.03 
 misc::match_class_unicode                227,733                                          225,666                                                             -2,067   -0.91%   x 1.01 
 misc::matches_set                        428,733                                          486,333                                                             57,600   13.43%   x 0.88 
 misc::medium_1K                          11,133                                           9,466                                                               -1,667  -14.97%   x 1.18 
 misc::medium_1MB                         14,200                                           13,000                                                              -1,200   -8.45%   x 1.09 
 misc::medium_32                          11,133                                           9,400                                                               -1,733  -15.57%   x 1.18 
 misc::medium_32K                         11,266                                           9,600                                                               -1,666  -14.79%   x 1.17 
 misc::no_exponential                     297,333                                          289,466                                                             -7,867   -2.65%   x 1.03 
 misc::not_literal                        79,600                                           79,333                                                                -267   -0.34%   x 1.00 
 misc::one_pass_long_prefix               44,866                                           45,400                                                                 534    1.19%   x 0.99 
 misc::one_pass_long_prefix_not           45,200                                           45,400                                                                 200    0.44%   x 1.00 
 misc::one_pass_short                     33,133                                           33,200                                                                  67    0.20%   x 1.00 
 misc::one_pass_short_not                 33,866                                           32,266                                                              -1,600   -4.72%   x 1.05 
 misc::reallyhard2_1K                     47,133                                           46,333                                                                -800   -1.70%   x 1.02 
 misc::reallyhard_1K                      1,435,866                                        1,418,933                                                          -16,933   -1.18%   x 1.01 
 misc::reallyhard_1MB                     1,431,098,266                                    1,409,398,800                                                  -21,699,466   -1.52%   x 1.02 
 misc::reallyhard_32                      91,000                                           89,666                                                              -1,334   -1.47%   x 1.01 
 misc::reallyhard_32K                     44,791,133                                       44,192,400                                                        -598,733   -1.34%   x 1.01 
 misc::replace_all                        141,400                                          160,466                                                             19,066   13.48%   x 0.88 
