 name                                     final-non-pgo-1-cgu/merged-timings.txt ns/iter  final-pgo-1-cgu-use/merged-timings.txt ns/iter    diff ns/iter   diff %  speedup 
 misc::anchored_literal_long_match        14,333                                          15,066                                                     733    5.11%   x 0.95 
 misc::anchored_literal_long_non_match    15,066                                          15,733                                                     667    4.43%   x 0.96 
 misc::anchored_literal_short_match       14,266                                          15,000                                                     734    5.15%   x 0.95 
 misc::anchored_literal_short_non_match   15,066                                          16,066                                                   1,000    6.64%   x 0.94 
 misc::easy0_1K                           11,000                                          10,000                                                  -1,000   -9.09%   x 1.10 
 misc::easy0_1MB                          13,000                                          13,000                                                       0    0.00%   x 1.00 
 misc::easy0_32                           11,000                                          10,000                                                  -1,000   -9.09%   x 1.10 
 misc::easy0_32K                          11,000                                          10,000                                                  -1,000   -9.09%   x 1.10 
 misc::easy1_1K                           32,066                                          28,733                                                  -3,333  -10.39%   x 1.12 
 misc::easy1_1MB                          34,266                                          32,000                                                  -2,266   -6.61%   x 1.07 
 misc::easy1_32                           32,000                                          28,600                                                  -3,400  -10.62%   x 1.12 
 misc::easy1_32K                          32,400                                          28,933                                                  -3,467  -10.70%   x 1.12 
 misc::hard_1K                            40,400                                          38,333                                                  -2,067   -5.12%   x 1.05 
 misc::hard_1MB                           44,333                                          43,000                                                  -1,333   -3.01%   x 1.03 
 misc::hard_32                            41,400                                          39,066                                                  -2,334   -5.64%   x 1.06 
 misc::hard_32K                           41,266                                          38,133                                                  -3,133   -7.59%   x 1.08 
 misc::is_match_set                       53,333                                          41,866                                                 -11,467  -21.50%   x 1.27 
 misc::literal                            11,000                                          9,466                                                   -1,534  -13.95%   x 1.16 
 misc::long_needle1                       889,000                                         907,200                                                 18,200    2.05%   x 0.98 
 misc::long_needle2                       441,808,200                                     486,311,000                                         44,502,800   10.07%   x 0.91 
 misc::match_class                        42,200                                          99,800                                                  57,600  136.49%   x 0.42 
 misc::match_class_in_range               11,000                                          10,000                                                  -1,000   -9.09%   x 1.10 
 misc::match_class_unicode                225,400                                         229,333                                                  3,933    1.74%   x 0.98 
 misc::matches_set                        472,133                                         419,666                                                -52,467  -11.11%   x 1.13 
 misc::medium_1K                          12,000                                          11,066                                                    -934   -7.78%   x 1.08 
 misc::medium_1MB                         14,000                                          14,266                                                     266    1.90%   x 0.98 
 misc::medium_32                          12,000                                          11,000                                                  -1,000   -8.33%   x 1.09 
 misc::medium_32K                         12,000                                          11,133                                                    -867   -7.22%   x 1.08 
 misc::no_exponential                     290,800                                         295,266                                                  4,466    1.54%   x 0.98 
 misc::not_literal                        78,466                                          80,000                                                   1,534    1.95%   x 0.98 
 misc::one_pass_long_prefix               44,600                                          45,666                                                   1,066    2.39%   x 0.98 
 misc::one_pass_long_prefix_not           44,800                                          45,266                                                     466    1.04%   x 0.99 
 misc::one_pass_short                     32,400                                          33,533                                                   1,133    3.50%   x 0.97 
 misc::one_pass_short_not                 33,333                                          32,133                                                  -1,200   -3.60%   x 1.04 
 misc::reallyhard2_1K                     47,600                                          45,200                                                  -2,400   -5.04%   x 1.05 
 misc::reallyhard_1K                      1,420,066                                       1,448,200                                               28,134    1.98%   x 0.98 
 misc::reallyhard_1MB                     1,411,092,133                                   1,436,674,200                                       25,582,067    1.81%   x 0.98 
 misc::reallyhard_32                      88,800                                          90,666                                                   1,866    2.10%   x 0.98 
 misc::reallyhard_32K                     44,159,266                                      45,006,933                                             847,667    1.92%   x 0.98 
 misc::replace_all                        114,000                                         126,933                                                 12,933   11.34%   x 0.90 
 misc::reverse_suffix_no_quadratic        3,825,933                                       9,262,333                                            5,436,400  142.09%   x 0.41 
 misc::short_haystack_1000000x            144,474,066                                     145,544,666                                          1,070,600    0.74%   x 0.99 
 misc::short_haystack_100000x             4,355,533                                       4,372,600                                               17,067    0.39%   x 1.00 
 misc::short_haystack_10000x              2,696,666                                       2,730,466                                               33,800    1.25%   x 0.99 
 misc::short_haystack_1000x               293,066                                         287,266                                                 -5,800   -1.98%   x 1.02 
 misc::short_haystack_100x                208,466                                         204,266                                                 -4,200   -2.01%   x 1.02 
 misc::short_haystack_10x                 173,600                                         169,600                                                 -4,000   -2.30%   x 1.02 
 misc::short_haystack_1x                  171,666                                         160,800                                                -10,866   -6.33%   x 1.07 
 misc::short_haystack_2x                  170,333                                         167,266                                                 -3,067   -1.80%   x 1.02 
 misc::short_haystack_3x                  167,800                                         161,266                                                 -6,534   -3.89%   x 1.04 
 misc::short_haystack_4x                  169,066                                         180,533                                                 11,467    6.78%   x 0.94 
 regexdna::find_new_lines                 10,313,717,200                                  10,284,284,533                                     -29,432,667   -0.29%   x 1.00 
 regexdna::subst1                         749,661,800                                     740,263,666                                         -9,398,134   -1.25%   x 1.01 
 regexdna::subst10                        744,323,933                                     746,489,400                                          2,165,467    0.29%   x 1.00 
 regexdna::subst11                        741,602,733                                     731,237,333                                        -10,365,400   -1.40%   x 1.01 
 regexdna::subst2                         745,834,333                                     741,768,000                                         -4,066,333   -0.55%   x 1.01 
 regexdna::subst3                         745,511,133                                     746,944,933                                          1,433,800    0.19%   x 1.00 
 regexdna::subst4                         735,493,666                                     734,474,933                                         -1,018,733   -0.14%   x 1.00 
 regexdna::subst5                         746,407,000                                     740,889,266                                         -5,517,734   -0.74%   x 1.01 
 regexdna::subst6                         747,502,333                                     740,785,800                                         -6,716,533   -0.90%   x 1.01 
 regexdna::subst7                         748,345,266                                     753,807,333                                          5,462,067    0.73%   x 0.99 
