 name                                     final-non-pgo-N-cgus/merged-timings.txt ns/iter  final-pgo-N-cgus-use/merged-timings.txt ns/iter   diff ns/iter   diff %  speedup 
 misc::anchored_literal_long_match        13,200                                           14,466                                                   1,266    9.59%   x 0.91 
 misc::anchored_literal_long_non_match    15,066                                           14,066                                                  -1,000   -6.64%   x 1.07 
 misc::anchored_literal_short_match       14,066                                           14,666                                                     600    4.27%   x 0.96 
 misc::anchored_literal_short_non_match   15,666                                           14,133                                                  -1,533   -9.79%   x 1.11 
 misc::easy0_1K                           10,133                                           9,000                                                   -1,133  -11.18%   x 1.13 
 misc::easy0_1MB                          14,333                                           12,200                                                  -2,133  -14.88%   x 1.17 
 misc::easy0_32                           10,266                                           9,000                                                   -1,266  -12.33%   x 1.14 
 misc::easy0_32K                          10,600                                           9,066                                                   -1,534  -14.47%   x 1.17 
 misc::easy1_1K                           34,800                                           27,000                                                  -7,800  -22.41%   x 1.29 
 misc::easy1_1MB                          35,266                                           30,200                                                  -5,066  -14.37%   x 1.17 
 misc::easy1_32                           34,600                                           27,466                                                  -7,134  -20.62%   x 1.26 
 misc::easy1_32K                          34,466                                           26,000                                                  -8,466  -24.56%   x 1.33 
 misc::hard_1K                            43,600                                           37,333                                                  -6,267  -14.37%   x 1.17 
 misc::hard_1MB                           45,466                                           42,200                                                  -3,266   -7.18%   x 1.08 
 misc::hard_32                            43,066                                           37,333                                                  -5,733  -13.31%   x 1.15 
 misc::hard_32K                           43,333                                           36,066                                                  -7,267  -16.77%   x 1.20 
 misc::is_match_set                       54,666                                           52,933                                                  -1,733   -3.17%   x 1.03 
 misc::literal                            10,066                                           9,666                                                     -400   -3.97%   x 1.04 
 misc::long_needle1                       905,266                                          915,800                                                 10,534    1.16%   x 0.99 
 misc::long_needle2                       498,019,533                                      476,907,333                                        -21,112,200   -4.24%   x 1.04 
 misc::match_class                        43,533                                           80,600                                                  37,067   85.15%   x 0.54 
 misc::match_class_in_range               11,000                                           10,600                                                    -400   -3.64%   x 1.04 
 misc::match_class_unicode                227,733                                          228,933                                                  1,200    0.53%   x 0.99 
 misc::matches_set                        428,733                                          417,800                                                -10,933   -2.55%   x 1.03 
 misc::medium_1K                          11,133                                           10,000                                                  -1,133  -10.18%   x 1.11 
 misc::medium_1MB                         14,200                                           13,000                                                  -1,200   -8.45%   x 1.09 
 misc::medium_32                          11,133                                           10,000                                                  -1,133  -10.18%   x 1.11 
 misc::medium_32K                         11,266                                           10,000                                                  -1,266  -11.24%   x 1.13 
 misc::no_exponential                     297,333                                          295,066                                                 -2,267   -0.76%   x 1.01 
