 name                                     non-pgo-timings/merged-timings.txt ns/iter  pgo-timings-cargo-fixed/merged-timings.txt ns/iter    diff ns/iter   diff %  speedup 
 misc::anchored_literal_long_match        13,733                                      13,000                                                        -733   -5.34%   x 1.06 
 misc::anchored_literal_long_non_match    13,133                                      12,200                                                        -933   -7.10%   x 1.08 
 misc::anchored_literal_short_match       13,666                                      13,133                                                        -533   -3.90%   x 1.04 
 misc::anchored_literal_short_non_match   13,733                                      12,000                                                      -1,733  -12.62%   x 1.14 
 misc::easy0_1K                           9,266                                       8,133                                                       -1,133  -12.23%   x 1.14 
 misc::easy0_1MB                          11,133                                      10,533                                                        -600   -5.39%   x 1.06 
 misc::easy0_32                           9,266                                       8,200                                                       -1,066  -11.50%   x 1.13 
 misc::easy0_32K                          9,133                                       8,266                                                         -867   -9.49%   x 1.10 
 misc::easy1_1K                           26,866                                      28,800                                                       1,934    7.20%   x 0.93 
 misc::easy1_1MB                          31,933                                      32,400                                                         467    1.46%   x 0.99 
 misc::easy1_32                           27,866                                      29,000                                                       1,134    4.07%   x 0.96 
 misc::easy1_32K                          27,866                                      29,133                                                       1,267    4.55%   x 0.96 
 misc::hard_1K                            36,866                                      38,466                                                       1,600    4.34%   x 0.96 
 misc::hard_1MB                           41,333                                      42,933                                                       1,600    3.87%   x 0.96 
 misc::hard_32                            36,533                                      39,466                                                       2,933    8.03%   x 0.93 
 misc::hard_32K                           36,600                                      38,200                                                       1,600    4.37%   x 0.96 
 misc::is_match_set                       54,333                                      53,133                                                      -1,200   -2.21%   x 1.02 
 misc::literal                            9,266                                       8,200                                                       -1,066  -11.50%   x 1.13 
 misc::long_needle1                       893,866                                     899,266                                                      5,400    0.60%   x 0.99 
 misc::long_needle2                       479,925,133                                 471,841,200                                             -8,083,933   -1.68%   x 1.02 
 misc::match_class                        42,400                                      79,000                                                      36,600   86.32%   x 0.54 
 misc::match_class_in_range               10,800                                      9,200                                                       -1,600  -14.81%   x 1.17 
 misc::match_class_unicode                228,866                                     228,333                                                       -533   -0.23%   x 1.00 
 misc::matches_set                        453,733                                     400,333                                                    -53,400  -11.77%   x 1.13 
 misc::medium_1K                          10,133                                      9,666                                                         -467   -4.61%   x 1.05 
 misc::medium_1MB                         12,200                                      12,866                                                         666    5.46%   x 0.95 
 misc::medium_32                          10,066                                      9,466                                                         -600   -5.96%   x 1.06 
 misc::medium_32K                         10,133                                      9,466                                                         -667   -6.58%   x 1.07 
 misc::no_exponential                     294,200                                     294,266                                                         66    0.02%   x 1.00 
 misc::not_literal                        80,333                                      79,866                                                        -467   -0.58%   x 1.01 
 misc::one_pass_long_prefix               46,066                                      45,066                                                      -1,000   -2.17%   x 1.02 
 misc::one_pass_long_prefix_not           46,266                                      45,133                                                      -1,133   -2.45%   x 1.03 
 misc::one_pass_short                     33,266                                      32,866                                                        -400   -1.20%   x 1.01 
 misc::one_pass_short_not                 31,666                                      32,466                                                         800    2.53%   x 0.98 
 misc::reallyhard2_1K                     43,933                                      41,000                                                      -2,933   -6.68%   x 1.07 
 misc::reallyhard_1K                      1,441,066                                   1,445,866                                                    4,800    0.33%   x 1.00 
 misc::reallyhard_1MB                     1,429,127,800                               1,426,016,733                                           -3,111,067   -0.22%   x 1.00 
 misc::reallyhard_32                      92,333                                      90,266                                                      -2,067   -2.24%   x 1.02 
