 name                                     non-pgo-timings/merged-timings.txt ns/iter  pgo-timings-no-preinline/merged-timings.txt ns/iter    diff ns/iter   diff %  speedup 
 misc::anchored_literal_long_match        13,050                                      12,850                                                         -200   -1.53%   x 1.02 
 misc::anchored_literal_long_non_match    13,000                                      13,000                                                            0    0.00%   x 1.00 
 misc::anchored_literal_short_match       13,000                                      13,050                                                           50    0.38%   x 1.00 
 misc::anchored_literal_short_non_match   14,000                                      13,000                                                       -1,000   -7.14%   x 1.08 
 misc::easy0_1K                           9,800                                       9,050                                                          -750   -7.65%   x 1.08 
 misc::easy0_1MB                          12,000                                      11,000                                                       -1,000   -8.33%   x 1.09 
 misc::easy0_32                           10,000                                      9,000                                                        -1,000  -10.00%   x 1.11 
 misc::easy0_32K                          9,900                                       9,000                                                          -900   -9.09%   x 1.10 
 misc::easy1_1K                           32,750                                      33,200                                                          450    1.37%   x 0.99 
 misc::easy1_1MB                          35,000                                      35,000                                                            0    0.00%   x 1.00 
 misc::easy1_32                           32,500                                      33,250                                                          750    2.31%   x 0.98 
 misc::easy1_32K                          32,550                                      33,700                                                        1,150    3.53%   x 0.97 
 misc::hard_1K                            41,450                                      42,550                                                        1,100    2.65%   x 0.97 
 misc::hard_1MB                           44,550                                      44,950                                                          400    0.90%   x 0.99 
 misc::hard_32                            42,000                                      42,500                                                          500    1.19%   x 0.99 
 misc::hard_32K                           41,900                                      42,450                                                          550    1.31%   x 0.99 
 misc::is_match_set                       53,850                                      54,350                                                          500    0.93%   x 0.99 
 misc::literal                            10,000                                      9,000                                                        -1,000  -10.00%   x 1.11 
 misc::long_needle1                       892,800                                     902,750                                                       9,950    1.11%   x 0.99 
 misc::long_needle2                       456,902,000                                 608,346,000                                             151,444,000   33.15%   x 0.75 
 misc::match_class                        42,150                                      85,700                                                       43,550  103.32%   x 0.49 
 misc::match_class_in_range               9,850                                       9,450                                                          -400   -4.06%   x 1.04 
 misc::match_class_unicode                228,300                                     227,700                                                        -600   -0.26%   x 1.00 
 misc::matches_set                        443,400                                     439,150                                                      -4,250   -0.96%   x 1.01 
 misc::medium_1K                          10,900                                      10,000                                                         -900   -8.26%   x 1.09 
 misc::medium_1MB                         12,000                                      12,100                                                          100    0.83%   x 0.99 
 misc::medium_32                          10,800                                      10,000                                                         -800   -7.41%   x 1.08 
 misc::medium_32K                         10,800                                      10,150                                                         -650   -6.02%   x 1.06 
 misc::no_exponential                     295,350                                     296,600                                                       1,250    0.42%   x 1.00 
