 name                                     non-pgo-timings/merged-timings.txt ns/iter  pgo-timings-no-preinline/merged-timings.txt ns/iter   diff ns/iter  diff %  speedup 
 misc::anchored_literal_long_match        13,000                                      13,100                                                         100   0.77%   x 0.99 
 misc::anchored_literal_long_non_match    14,000                                      14,000                                                           0   0.00%   x 1.00 
 misc::anchored_literal_short_match       12,950                                      13,050                                                         100   0.77%   x 0.99 
 misc::anchored_literal_short_non_match   14,000                                      14,000                                                           0   0.00%   x 1.00 
 misc::easy0_1K                           10,000                                      10,000                                                           0   0.00%   x 1.00 
 misc::easy0_1MB                          11,900                                      11,950                                                          50   0.42%   x 1.00 
 misc::easy0_32                           10,000                                      9,800                                                         -200  -2.00%   x 1.02 
 misc::easy0_32K                          10,000                                      10,000                                                           0   0.00%   x 1.00 
 misc::easy1_1K                           32,250                                      32,350                                                         100   0.31%   x 1.00 
 misc::easy1_1MB                          34,550                                      34,800                                                         250   0.72%   x 0.99 
 misc::easy1_32                           32,550                                      32,300                                                        -250  -0.77%   x 1.01 
 misc::easy1_32K                          32,500                                      32,350                                                        -150  -0.46%   x 1.00 
 misc::hard_1K                            41,400                                      41,350                                                         -50  -0.12%   x 1.00 
 misc::hard_1MB                           44,200                                      44,500                                                         300   0.68%   x 0.99 
 misc::hard_32                            41,750                                      41,300                                                        -450  -1.08%   x 1.01 
 misc::hard_32K                           41,300                                      41,650                                                         350   0.85%   x 0.99 
 misc::is_match_set                       53,200                                      53,350                                                         150   0.28%   x 1.00 
 misc::literal                            9,650                                       9,750                                                          100   1.04%   x 0.99 
 misc::long_needle1                       886,600                                     889,800                                                      3,200   0.36%   x 1.00 
 misc::long_needle2                       443,832,450                                 444,252,550                                                420,100   0.09%   x 1.00 
 misc::match_class                        41,450                                      41,600                                                         150   0.36%   x 1.00 
 misc::match_class_in_range               9,700                                       9,700                                                            0   0.00%   x 1.00 
 misc::match_class_unicode                227,400                                     226,750                                                       -650  -0.29%   x 1.00 
 misc::matches_set                        443,750                                     442,700                                                     -1,050  -0.24%   x 1.00 
 misc::medium_1K                          10,050                                      10,050                                                           0   0.00%   x 1.00 
 misc::medium_1MB                         12,000                                      12,100                                                         100   0.83%   x 0.99 
 misc::medium_32                          10,050                                      10,000                                                         -50  -0.50%   x 1.00 
 misc::medium_32K                         10,050                                      10,150                                                         100   1.00%   x 0.99 
 misc::no_exponential                     293,500                                     295,500                                                      2,000   0.68%   x 0.99 
 misc::not_literal                        78,550                                      79,300                                                         750   0.95%   x 0.99 
