 name                                     non-pgo-timings-O3-nightly/merged-timings.txt ns/iter  pgo-timings-higher-threshold/merged-timings.txt ns/iter    diff ns/iter  diff %  speedup 
 misc::anchored_literal_long_match        12,800                                                 13,100                                                              300   2.34%   x 0.98 
 misc::anchored_literal_long_non_match    13,880                                                 15,000                                                            1,120   8.07%   x 0.93 
 misc::anchored_literal_short_match       13,000                                                 13,150                                                              150   1.15%   x 0.99 
 misc::anchored_literal_short_non_match   14,000                                                 15,000                                                            1,000   7.14%   x 0.93 
 misc::easy0_1K                           9,240                                                  10,050                                                              810   8.77%   x 0.92 
 misc::easy0_1MB                          11,480                                                 11,150                                                             -330  -2.87%   x 1.03 
 misc::easy0_32                           9,440                                                  10,000                                                              560   5.93%   x 0.94 
 misc::easy0_32K                          9,480                                                  10,050                                                              570   6.01%   x 0.94 
 misc::easy1_1K                           34,080                                                 34,100                                                               20   0.06%   x 1.00 
 misc::easy1_1MB                          35,960                                                 35,050                                                             -910  -2.53%   x 1.03 
 misc::easy1_32                           34,400                                                 34,150                                                             -250  -0.73%   x 1.01 
 misc::easy1_32K                          34,600                                                 34,150                                                             -450  -1.30%   x 1.01 
 misc::hard_1K                            43,360                                                 43,300                                                              -60  -0.14%   x 1.00 
 misc::hard_1MB                           45,160                                                 45,150                                                              -10  -0.02%   x 1.00 
 misc::hard_32                            43,440                                                 43,250                                                             -190  -0.44%   x 1.00 
 misc::hard_32K                           43,200                                                 43,400                                                              200   0.46%   x 1.00 
 misc::is_match_set                       53,720                                                 53,150                                                             -570  -1.06%   x 1.01 
 misc::literal                            8,720                                                  10,000                                                            1,280  14.68%   x 0.87 
 misc::long_needle1                       897,800                                                888,400                                                          -9,400  -1.05%   x 1.01 
 misc::long_needle2                       495,254,840                                            473,894,700                                                 -21,360,140  -4.31%   x 1.05 
 misc::match_class                        43,200                                                 70,100                                                           26,900  62.27%   x 0.62 
 misc::match_class_in_range               10,040                                                 10,500                                                              460   4.58%   x 0.96 
 misc::match_class_unicode                228,280                                                225,650                                                          -2,630  -1.15%   x 1.01 
 misc::matches_set                        438,920                                                434,600                                                          -4,320  -0.98%   x 1.01 
 misc::medium_1K                          11,040                                                 10,000                                                           -1,040  -9.42%   x 1.10 
 misc::medium_1MB                         12,360                                                 13,000                                                              640   5.18%   x 0.95 
 misc::medium_32                          11,120                                                 10,700                                                             -420  -3.78%   x 1.04 
 misc::medium_32K                         11,000                                                 10,050                                                             -950  -8.64%   x 1.09 
 misc::no_exponential                     296,080                                                293,600                                                          -2,480  -0.84%   x 1.01 
 misc::not_literal                        79,280                                                 78,500                                                             -780  -0.98%   x 1.01 
 misc::one_pass_long_prefix               45,160                                                 44,550                                                             -610  -1.35%   x 1.01 
 misc::one_pass_long_prefix_not           45,160                                                 44,650                                                             -510  -1.13%   x 1.01 
 misc::one_pass_short                     32,600                                                 32,300                                                             -300  -0.92%   x 1.01 
 misc::one_pass_short_not                 33,600                                                 33,700                                                              100   0.30%   x 1.00 
 misc::reallyhard2_1K                     45,920                                                 46,400                                                              480   1.05%   x 0.99 
 misc::reallyhard_1K                      1,432,960                                              1,416,700                                                       -16,260  -1.13%   x 1.01 
