 name                                     non-pgo-timings-O3-nightly/merged-timings.txt ns/iter  pgo-timings-threshold-300/merged-timings.txt ns/iter    diff ns/iter  diff %  speedup 
 misc::anchored_literal_long_match        12,800                                                 13,050                                                           250   1.95%   x 0.98 
 misc::anchored_literal_long_non_match    13,880                                                 13,100                                                          -780  -5.62%   x 1.06 
 misc::anchored_literal_short_match       13,000                                                 13,100                                                           100   0.77%   x 0.99 
 misc::anchored_literal_short_non_match   14,000                                                 13,000                                                        -1,000  -7.14%   x 1.08 
 misc::easy0_1K                           9,240                                                  10,000                                                           760   8.23%   x 0.92 
 misc::easy0_1MB                          11,480                                                 11,200                                                          -280  -2.44%   x 1.03 
 misc::easy0_32                           9,440                                                  10,050                                                           610   6.46%   x 0.94 
 misc::easy0_32K                          9,480                                                  10,200                                                           720   7.59%   x 0.93 
 misc::easy1_1K                           34,080                                                 34,200                                                           120   0.35%   x 1.00 
 misc::easy1_1MB                          35,960                                                 35,200                                                          -760  -2.11%   x 1.02 
 misc::easy1_32                           34,400                                                 34,100                                                          -300  -0.87%   x 1.01 
 misc::easy1_32K                          34,600                                                 34,450                                                          -150  -0.43%   x 1.00 
 misc::hard_1K                            43,360                                                 43,350                                                           -10  -0.02%   x 1.00 
 misc::hard_1MB                           45,160                                                 45,550                                                           390   0.86%   x 0.99 
 misc::hard_32                            43,440                                                 43,100                                                          -340  -0.78%   x 1.01 
 misc::hard_32K                           43,200                                                 43,450                                                           250   0.58%   x 0.99 
 misc::is_match_set                       53,720                                                 53,000                                                          -720  -1.34%   x 1.01 
 misc::literal                            8,720                                                  10,000                                                         1,280  14.68%   x 0.87 
 misc::long_needle1                       897,800                                                893,200                                                       -4,600  -0.51%   x 1.01 
 misc::long_needle2                       495,254,840                                            483,344,850                                              -11,909,990  -2.40%   x 1.02 
 misc::match_class                        43,200                                                 70,100                                                        26,900  62.27%   x 0.62 
 misc::match_class_in_range               10,040                                                 10,850                                                           810   8.07%   x 0.93 
 misc::match_class_unicode                228,280                                                225,950                                                       -2,330  -1.02%   x 1.01 
 misc::matches_set                        438,920                                                420,550                                                      -18,370  -4.19%   x 1.04 
 misc::medium_1K                          11,040                                                 12,000                                                           960   8.70%   x 0.92 
 misc::medium_1MB                         12,360                                                 13,000                                                           640   5.18%   x 0.95 
 misc::medium_32                          11,120                                                 12,000                                                           880   7.91%   x 0.93 
 misc::medium_32K                         11,000                                                 11,850                                                           850   7.73%   x 0.93 
 misc::no_exponential                     296,080                                                294,250                                                       -1,830  -0.62%   x 1.01 
 misc::not_literal                        79,280                                                 78,800                                                          -480  -0.61%   x 1.01 
 misc::one_pass_long_prefix               45,160                                                 45,450                                                           290   0.64%   x 0.99 
 misc::one_pass_long_prefix_not           45,160                                                 44,550                                                          -610  -1.35%   x 1.01 
 misc::one_pass_short                     32,600                                                 32,150                                                          -450  -1.38%   x 1.01 
 misc::one_pass_short_not                 33,600                                                 33,650                                                            50   0.15%   x 1.00 
 misc::reallyhard2_1K                     45,920                                                 46,500                                                           580   1.26%   x 0.99 
 misc::reallyhard_1K                      1,432,960                                              1,422,200                                                    -10,760  -0.75%   x 1.01 
 misc::reallyhard_1MB                     1,428,386,160                                          1,416,371,250                                            -12,014,910  -0.84%   x 1.01 
 misc::reallyhard_32                      89,960                                                 89,100                                                          -860  -0.96%   x 1.01 
 misc::reallyhard_32K                     44,502,000                                             44,083,050                                                  -418,950  -0.94%   x 1.01 
 misc::replace_all                        139,360                                                139,000                                                         -360  -0.26%   x 1.00 
 misc::reverse_suffix_no_quadratic        3,696,960                                              6,400,400                                                  2,703,440  73.13%   x 0.58 
 misc::short_haystack_1000000x            144,824,440                                            146,160,650                                                1,336,210   0.92%   x 0.99 
 misc::short_haystack_100000x             4,335,320                                              4,303,300                                                    -32,020  -0.74%   x 1.01 
 misc::short_haystack_10000x              2,787,160                                              2,711,100                                                    -76,060  -2.73%   x 1.03 
 misc::short_haystack_1000x               298,640                                                295,450                                                       -3,190  -1.07%   x 1.01 
 misc::short_haystack_100x                211,440                                                208,550                                                       -2,890  -1.37%   x 1.01 
 misc::short_haystack_10x                 179,200                                                179,050                                                         -150  -0.08%   x 1.00 
 misc::short_haystack_1x                  168,280                                                166,950                                                       -1,330  -0.79%   x 1.01 
 misc::short_haystack_2x                  170,640                                                168,950                                                       -1,690  -0.99%   x 1.01 
 misc::short_haystack_3x                  170,000                                                167,050                                                       -2,950  -1.74%   x 1.02 
 misc::short_haystack_4x                  172,120                                                169,250                                                       -2,870  -1.67%   x 1.02 
 regexdna::find_new_lines                 10,241,079,160                                         10,128,870,950                                          -112,208,210  -1.10%   x 1.01 
 regexdna::subst1                         732,814,240                                            721,598,450                                              -11,215,790  -1.53%   x 1.02 
