 name                                     non-pgo-timings-O3-nightly/merged-timings.txt ns/iter  pgo-timings-O3-nightly/merged-timings.txt ns/iter   diff ns/iter  diff %  speedup 
 misc::anchored_literal_long_match        12,800                                                 13,440                                                       640   5.00%   x 0.95 
 misc::anchored_literal_long_non_match    13,880                                                 13,480                                                      -400  -2.88%   x 1.03 
 misc::anchored_literal_short_match       13,000                                                 13,400                                                       400   3.08%   x 0.97 
 misc::anchored_literal_short_non_match   14,000                                                 13,360                                                      -640  -4.57%   x 1.05 
 misc::easy0_1K                           9,240                                                  9,240                                                          0   0.00%   x 1.00 
 misc::easy0_1MB                          11,480                                                 11,520                                                        40   0.35%   x 1.00 
 misc::easy0_32                           9,440                                                  9,160                                                       -280  -2.97%   x 1.03 
 misc::easy0_32K                          9,480                                                  9,480                                                          0   0.00%   x 1.00 
 misc::easy1_1K                           34,080                                                 34,680                                                       600   1.76%   x 0.98 
 misc::easy1_1MB                          35,960                                                 36,320                                                       360   1.00%   x 0.99 
 misc::easy1_32                           34,400                                                 34,480                                                        80   0.23%   x 1.00 
 misc::easy1_32K                          34,600                                                 35,080                                                       480   1.39%   x 0.99 
 misc::hard_1K                            43,360                                                 44,040                                                       680   1.57%   x 0.98 
 misc::hard_1MB                           45,160                                                 46,320                                                     1,160   2.57%   x 0.97 
 misc::hard_32                            43,440                                                 44,080                                                       640   1.47%   x 0.99 
 misc::hard_32K                           43,200                                                 44,080                                                       880   2.04%   x 0.98 
 misc::is_match_set                       53,720                                                 54,800                                                     1,080   2.01%   x 0.98 
 misc::literal                            8,720                                                  10,160                                                     1,440  16.51%   x 0.86 
 misc::long_needle1                       897,800                                                912,600                                                   14,800   1.65%   x 0.98 
 misc::long_needle2                       495,254,840                                            490,916,880                                           -4,337,960  -0.88%   x 1.01 
 misc::match_class                        43,200                                                 71,280                                                    28,080  65.00%   x 0.61 
 misc::match_class_in_range               10,040                                                 10,360                                                       320   3.19%   x 0.97 
 misc::match_class_unicode                228,280                                                233,200                                                    4,920   2.16%   x 0.98 
 misc::matches_set                        438,920                                                443,200                                                    4,280   0.98%   x 0.99 
 misc::medium_1K                          11,040                                                 10,200                                                      -840  -7.61%   x 1.08 
 misc::medium_1MB                         12,360                                                 12,200                                                      -160  -1.29%   x 1.01 
 misc::medium_32                          11,120                                                 10,240                                                      -880  -7.91%   x 1.09 
 misc::medium_32K                         11,000                                                 10,240                                                      -760  -6.91%   x 1.07 
 misc::no_exponential                     296,080                                                302,360                                                    6,280   2.12%   x 0.98 
 misc::not_literal                        79,280                                                 80,880                                                     1,600   2.02%   x 0.98 
 misc::one_pass_long_prefix               45,160                                                 45,760                                                       600   1.33%   x 0.99 
 misc::one_pass_long_prefix_not           45,160                                                 45,840                                                       680   1.51%   x 0.99 
 misc::one_pass_short                     32,600                                                 33,720                                                     1,120   3.44%   x 0.97 
 misc::one_pass_short_not                 33,600                                                 34,800                                                     1,200   3.57%   x 0.97 
 misc::reallyhard2_1K                     45,920                                                 46,600                                                       680   1.48%   x 0.99 
 misc::reallyhard_1K                      1,432,960                                              1,453,240                                                 20,280   1.42%   x 0.99 
 misc::reallyhard_1MB                     1,428,386,160                                          1,443,055,200                                         14,669,040   1.03%   x 0.99 
 misc::reallyhard_32                      89,960                                                 90,680                                                       720   0.80%   x 0.99 
 misc::reallyhard_32K                     44,502,000                                             45,031,680                                               529,680   1.19%   x 0.99 
 misc::replace_all                        139,360                                                141,880                                                    2,520   1.81%   x 0.98 
 misc::reverse_suffix_no_quadratic        3,696,960                                              6,502,920                                              2,805,960  75.90%   x 0.57 
 misc::short_haystack_1000000x            144,824,440                                            146,325,280                                            1,500,840   1.04%   x 0.99 
 misc::short_haystack_100000x             4,335,320                                              4,369,720                                                 34,400   0.79%   x 0.99 
 misc::short_haystack_10000x              2,787,160                                              2,825,040                                                 37,880   1.36%   x 0.99 
 misc::short_haystack_1000x               298,640                                                303,440                                                    4,800   1.61%   x 0.98 
 misc::short_haystack_100x                211,440                                                215,960                                                    4,520   2.14%   x 0.98 
 misc::short_haystack_10x                 179,200                                                182,000                                                    2,800   1.56%   x 0.98 
 misc::short_haystack_1x                  168,280                                                171,080                                                    2,800   1.66%   x 0.98 
 misc::short_haystack_2x                  170,640                                                174,240                                                    3,600   2.11%   x 0.98 
 misc::short_haystack_3x                  170,000                                                175,160                                                    5,160   3.04%   x 0.97 
 misc::short_haystack_4x                  172,120                                                173,360                                                    1,240   0.72%   x 0.99 
 regexdna::find_new_lines                 10,241,079,160                                         10,433,737,200                                       192,658,040   1.88%   x 0.98 
 regexdna::subst1                         732,814,240                                            754,402,960                                           21,588,720   2.95%   x 0.97 
 regexdna::subst10                        728,707,400                                            747,348,240                                           18,640,840   2.56%   x 0.98 
 regexdna::subst11                        730,579,400                                            744,349,920                                           13,770,520   1.88%   x 0.98 
 regexdna::subst2                         733,333,280                                            748,496,640                                           15,163,360   2.07%   x 0.98 
 regexdna::subst3                         738,116,440                                            748,452,120                                           10,335,680   1.40%   x 0.99 
 regexdna::subst4                         728,051,280                                            743,969,840                                           15,918,560   2.19%   x 0.98 
 regexdna::subst5                         733,655,840                                            753,067,640                                           19,411,800   2.65%   x 0.97 
