 name                                     final-pgo-N-cgus-use/merged-timings.txt ns/iter  final-pgo-N-cgus-instr-limit-use/merged-timings.txt ns/iter   diff ns/iter   diff %  speedup 
 misc::anchored_literal_long_match        14,466                                           13,800                                                                -666   -4.60%   x 1.05 
 misc::anchored_literal_long_non_match    14,066                                           14,000                                                                 -66   -0.47%   x 1.00 
 misc::anchored_literal_short_match       14,666                                           13,933                                                                -733   -5.00%   x 1.05 
 misc::anchored_literal_short_non_match   14,133                                           14,066                                                                 -67   -0.47%   x 1.00 
 misc::easy0_1K                           9,000                                            9,000                                                                    0    0.00%   x 1.00 
 misc::easy0_1MB                          12,200                                           12,000                                                                -200   -1.64%   x 1.02 
 misc::easy0_32                           9,000                                            9,000                                                                    0    0.00%   x 1.00 
 misc::easy0_32K                          9,066                                            9,000                                                                  -66   -0.73%   x 1.01 
 misc::easy1_1K                           27,000                                           26,600                                                                -400   -1.48%   x 1.02 
 misc::easy1_1MB                          30,200                                           29,466                                                                -734   -2.43%   x 1.02 
 misc::easy1_32                           27,466                                           26,266                                                              -1,200   -4.37%   x 1.05 
 misc::easy1_32K                          26,000                                           26,866                                                                 866    3.33%   x 0.97 
 misc::hard_1K                            37,333                                           36,200                                                              -1,133   -3.03%   x 1.03 
 misc::hard_1MB                           42,200                                           41,400                                                                -800   -1.90%   x 1.02 
 misc::hard_32                            37,333                                           36,333                                                              -1,000   -2.68%   x 1.03 
 misc::hard_32K                           36,066                                           36,400                                                                 334    0.93%   x 0.99 
 misc::is_match_set                       52,933                                           62,333                                                               9,400   17.76%   x 0.85 
 misc::literal                            9,666                                            8,533                                                               -1,133  -11.72%   x 1.13 
 misc::long_needle1                       915,800                                          900,866                                                            -14,934   -1.63%   x 1.02 
 misc::long_needle2                       476,907,333                                      474,683,600                                                     -2,223,733   -0.47%   x 1.00 
 misc::match_class                        80,600                                           98,133                                                              17,533   21.75%   x 0.82 
 misc::match_class_in_range               10,600                                           10,666                                                                  66    0.62%   x 0.99 
 misc::match_class_unicode                228,933                                          225,666                                                             -3,267   -1.43%   x 1.01 
 misc::matches_set                        417,800                                          486,333                                                             68,533   16.40%   x 0.86 
 misc::medium_1K                          10,000                                           9,466                                                                 -534   -5.34%   x 1.06 
 misc::medium_1MB                         13,000                                           13,000                                                                   0    0.00%   x 1.00 
 misc::medium_32                          10,000                                           9,400                                                                 -600   -6.00%   x 1.06 
