 name                                     pgo-timings-O3-no-preinline-nightly/merged-timings.txt ns/iter  pgo-timings-higher-threshold/merged-timings.txt ns/iter  diff ns/iter   diff %  speedup 
 misc::anchored_literal_long_match        12,320                                                          13,100                                                            780    6.33%   x 0.94 
 misc::anchored_literal_long_non_match    13,000                                                          15,000                                                          2,000   15.38%   x 0.87 
 misc::anchored_literal_short_match       12,480                                                          13,150                                                            670    5.37%   x 0.95 
 misc::anchored_literal_short_non_match   13,000                                                          15,000                                                          2,000   15.38%   x 0.87 
 misc::easy0_1K                           9,080                                                           10,050                                                            970   10.68%   x 0.90 
 misc::easy0_1MB                          11,080                                                          11,150                                                             70    0.63%   x 0.99 
 misc::easy0_32                           10,160                                                          10,000                                                           -160   -1.57%   x 1.02 
 misc::easy0_32K                          9,080                                                           10,050                                                            970   10.68%   x 0.90 
 misc::easy1_1K                           33,600                                                          34,100                                                            500    1.49%   x 0.99 
 misc::easy1_1MB                          35,240                                                          35,050                                                           -190   -0.54%   x 1.01 
 misc::easy1_32                           33,480                                                          34,150                                                            670    2.00%   x 0.98 
 misc::easy1_32K                          33,240                                                          34,150                                                            910    2.74%   x 0.97 
 misc::hard_1K                            42,960                                                          43,300                                                            340    0.79%   x 0.99 
 misc::hard_1MB                           44,920                                                          45,150                                                            230    0.51%   x 0.99 
 misc::hard_32                            42,880                                                          43,250                                                            370    0.86%   x 0.99 
 misc::hard_32K                           43,200                                                          43,400                                                            200    0.46%   x 1.00 
 misc::is_match_set                       53,120                                                          53,150                                                             30    0.06%   x 1.00 
 misc::literal                            9,000                                                           10,000                                                          1,000   11.11%   x 0.90 
 misc::long_needle1                       890,280                                                         888,400                                                        -1,880   -0.21%   x 1.00 
 misc::long_needle2                       532,865,160                                                     473,894,700                                               -58,970,460  -11.07%   x 1.12 
 misc::match_class                        42,200                                                          70,100                                                         27,900   66.11%   x 0.60 
 misc::match_class_in_range               10,000                                                          10,500                                                            500    5.00%   x 0.95 
 misc::match_class_unicode                225,760                                                         225,650                                                          -110   -0.05%   x 1.00 
 misc::matches_set                        418,560                                                         434,600                                                        16,040    3.83%   x 0.96 
 misc::medium_1K                          11,000                                                          10,000                                                         -1,000   -9.09%   x 1.10 
 misc::medium_1MB                         12,080                                                          13,000                                                            920    7.62%   x 0.93 
 misc::medium_32                          10,840                                                          10,700                                                           -140   -1.29%   x 1.01 
 misc::medium_32K                         11,000                                                          10,050                                                           -950   -8.64%   x 1.09 
 misc::no_exponential                     293,120                                                         293,600                                                           480    0.16%   x 1.00 
 misc::not_literal                        78,400                                                          78,500                                                            100    0.13%   x 1.00 
 misc::one_pass_long_prefix               44,720                                                          44,550                                                           -170   -0.38%   x 1.00 
 misc::one_pass_long_prefix_not           44,800                                                          44,650                                                           -150   -0.33%   x 1.00 
 misc::one_pass_short                     32,560                                                          32,300                                                           -260   -0.80%   x 1.01 
 misc::one_pass_short_not                 33,160                                                          33,700                                                            540    1.63%   x 0.98 
 misc::reallyhard2_1K                     45,800                                                          46,400                                                            600    1.31%   x 0.99 
 misc::reallyhard_1K                      1,418,880                                                       1,416,700                                                      -2,180   -0.15%   x 1.00 
 misc::reallyhard_1MB                     1,411,270,000                                                   1,405,198,000                                              -6,072,000   -0.43%   x 1.00 
 misc::reallyhard_32                      89,320                                                          89,200                                                           -120   -0.13%   x 1.00 
 misc::reallyhard_32K                     44,058,920                                                      44,019,700                                                    -39,220   -0.09%   x 1.00 
 misc::replace_all                        138,360                                                         139,000                                                           640    0.46%   x 1.00 
 misc::reverse_suffix_no_quadratic        3,660,320                                                       6,335,850                                                   2,675,530   73.10%   x 0.58 
 misc::short_haystack_1000000x            145,243,920                                                     145,940,900                                                   696,980    0.48%   x 1.00 
 misc::short_haystack_100000x             4,265,680                                                       4,281,600                                                      15,920    0.37%   x 1.00 
 misc::short_haystack_10000x              2,702,440                                                       2,689,400                                                     -13,040   -0.48%   x 1.00 
 misc::short_haystack_1000x               294,480                                                         293,900                                                          -580   -0.20%   x 1.00 
 misc::short_haystack_100x                209,560                                                         210,050                                                           490    0.23%   x 1.00 
 misc::short_haystack_10x                 176,840                                                         178,050                                                         1,210    0.68%   x 0.99 
 misc::short_haystack_1x                  170,360                                                         165,850                                                        -4,510   -2.65%   x 1.03 
 misc::short_haystack_2x                  171,440                                                         167,750                                                        -3,690   -2.15%   x 1.02 
 misc::short_haystack_3x                  171,960                                                         166,350                                                        -5,610   -3.26%   x 1.03 
 misc::short_haystack_4x                  171,720                                                         168,600                                                        -3,120   -1.82%   x 1.02 
 regexdna::find_new_lines                 10,158,661,760                                                  10,069,085,800                                            -89,575,960   -0.88%   x 1.01 
