 name                                     pgo-timings/merged-timings.txt ns/iter  pgo-timings-no-preinline/merged-timings.txt ns/iter  diff ns/iter   diff %  speedup 
 misc::anchored_literal_long_match        13,000                                  13,500                                                        500    3.85%   x 0.96 
 misc::anchored_literal_long_non_match    13,500                                  13,000                                                       -500   -3.70%   x 1.04 
 misc::anchored_literal_short_match       13,500                                  12,500                                                     -1,000   -7.41%   x 1.08 
 misc::anchored_literal_short_non_match   13,500                                  13,000                                                       -500   -3.70%   x 1.04 
 misc::easy0_1K                           9,000                                   9,000                                                           0    0.00%   x 1.00 
 misc::easy0_1MB                          11,500                                  11,500                                                          0    0.00%   x 1.00 
 misc::easy0_32                           9,000                                   9,500                                                         500    5.56%   x 0.95 
 misc::easy0_32K                          12,000                                  9,000                                                      -3,000  -25.00%   x 1.33 
 misc::easy1_1K                           36,000                                  35,000                                                     -1,000   -2.78%   x 1.03 
 misc::easy1_1MB                          36,000                                  36,000                                                          0    0.00%   x 1.00 
 misc::easy1_32                           34,500                                  33,500                                                     -1,000   -2.90%   x 1.03 
 misc::easy1_32K                          44,000                                  34,000                                                    -10,000  -22.73%   x 1.29 
 misc::hard_1K                            45,500                                  43,500                                                     -2,000   -4.40%   x 1.05 
 misc::hard_1MB                           58,500                                  44,500                                                    -14,000  -23.93%   x 1.31 
 misc::hard_32                            54,500                                  44,000                                                    -10,500  -19.27%   x 1.24 
 misc::hard_32K                           44,000                                  43,000                                                     -1,000   -2.27%   x 1.02 
 misc::is_match_set                       53,000                                  54,500                                                      1,500    2.83%   x 0.97 
 misc::literal                            10,000                                  10,000                                                          0    0.00%   x 1.00 
 misc::long_needle1                       911,500                                 894,500                                                   -17,000   -1.87%   x 1.02 
 misc::long_needle2                       492,817,500                             534,448,000                                            41,630,500    8.45%   x 0.92 
 misc::match_class                        71,500                                  43,000                                                    -28,500  -39.86%   x 1.66 
 misc::match_class_in_range               11,000                                  10,000                                                     -1,000   -9.09%   x 1.10 
 misc::match_class_unicode                236,500                                 228,000                                                    -8,500   -3.59%   x 1.04 
 misc::matches_set                        447,000                                 429,000                                                   -18,000   -4.03%   x 1.04 
 misc::medium_1K                          10,000                                  11,000                                                      1,000   10.00%   x 0.91 
 misc::medium_1MB                         12,000                                  13,000                                                      1,000    8.33%   x 0.92 
 misc::medium_32                          10,000                                  11,500                                                      1,500   15.00%   x 0.87 
 misc::medium_32K                         10,000                                  11,500                                                      1,500   15.00%   x 0.87 
 misc::no_exponential                     295,500                                 308,000                                                    12,500    4.23%   x 0.96 
 misc::not_literal                        79,000                                  82,500                                                      3,500    4.43%   x 0.96 
 misc::one_pass_long_prefix               44,500                                  47,500                                                      3,000    6.74%   x 0.94 
